Code,Name,pop13_u15,pop13_1529,pop13_3064,pop13_ov65,pop13_tot,pop18_u15,pop18_1529,pop18_3064,pop18_ov65,pop18_tot,pop23_u15,pop23_1529,pop23_3064,pop23_ov65,pop23_tot
"03500",South Taranaki District,"6078","4788","11802","3909","26580","6219","4719","12264","4332","27534","6171","4830","12906","5115","29025"
"02000",Waitomo District,"2133","1584","3972","1218","8907","2082","1701","4071","1446","9303","2022","1668","4197","1698","9585"
"07500",Invercargill City,"10254","9891","23250","8301","51696","10560","10053","24249","9345","54204","10233","10035","25083","10251","55599"
"07604",Kaipatiki Local Board Area,"15993","17985","39051","9462","82494","16449","20094","41472","10251","88269","16125","17787","42936","11283","88128"
"07620",Papakura Local Board Area,"11136","9864","19437","5196","45636","13632","13155","24786","6063","57636","17130","15429","32829","6933","72318"
"07618",Otara-Papatoetoe Local Board Area,"19605","18951","30588","6516","75663","20610","23328","34233","6951","85122","20448","21177","37566","7755","86949"
"99900",Area Outside Territorial Authority,"3","3","36","12","51","3","6","18","9","39","3","6","42","24","72"
"07300",Southland District,"6531","4980","14073","4026","29613","6534","5262","14436","4635","30864","6387","5025","14874","5544","31833"
"05100",Tasman District,"9432","6387","22872","8463","47157","9534","7626","24258","10974","52389","9498","8523","26322","13467","57807"
"03600",Ruapehu District,"2766","2175","5334","1569","11844","2715","2208","5454","1932","12309","2799","2217","5688","2391","13095"
"06200",Selwyn District,"9933","7977","21855","4833","44595","13452","10833","29301","6975","60561","16659","13320","38031","10131","78144"
"07200",Clutha District,"3501","2658","8073","2655","16890","3411","2898","8271","3087","17667","3408","2943","8436","3528","18315"
"06300",Ashburton District,"6423","5307","14115","5196","31041","6810","5937","14697","5982","33423","6714","5724","15447","6864","34746"
"07601",Rodney Local Board Area,"11412","8253","26526","8688","54882","13251","10746","31323","11094","66417","15225","11988","36972","13764","77949"
"03000",Hastings District,"16758","12519","32601","11364","73245","17697","14955","35199","13689","81537","17541","15396","37716","15309","85965"
"01300",Waikato District,"15204","10695","29976","7503","63378","17724","13239","35130","9525","75618","18675","14931","40224","12138","85968"
"03700",Whanganui District,"8517","7065","18459","8109","42153","8937","7692","19371","9309","45309","9042","7773","20205","10599","47619"
"05300",Marlborough District,"7752","6378","20382","8907","43416","8259","7158","21378","10548","47340","8232","7119","22239","11838","49431"
"05700",Westland District,"1533","1305","4176","1293","8304","1449","1446","4212","1536","8640","1377","1206","4437","1887","8901"
"06900",Central Otago District,"3258","2172","8652","3810","17895","3651","2997","10005","4908","21558","3894","3267","11163","5982","24306"
"07000",Queenstown-Lakes District,"5190","5397","14604","3033","28224","6522","9195","19317","4119","39153","7656","9648","24816","5691","47808"
"05800",Hurunui District,"2250","1638","5604","2031","11529","2427","1812","5841","2478","12558","2412","1809","6327","3063","13608"
"02800",Gisborne District,"10728","7848","18948","6126","43653","11283","8766","20124","7344","47517","11382","9627","21648","8481","51135"
"05500",Buller District,"1959","1560","5196","1752","10473","1587","1230","4551","2223","9591","1536","1197","4962","2751","10446"
"06500",Mackenzie District,"828","639","2031","663","4158","801","978","2274","810","4866","834","885","2454","942","5115"
"00100",Far North District,"12384","8238","25062","10044","55734","14079","10353","28191","12624","65250","14193","10914","30588","15735","71430"
"06800",Waitaki District,"3828","2907","9486","4605","20829","4071","3348","9819","5070","22308","4035","3507","10317","5610","23472"
